"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
20 Sep 2020 00:00:00.000,0.000,90.658,750.000000,0.059821,-0.012959,0.000000
20 Sep 2020 00:01:00.000,3.585,89.881,750.082973,0.059816,-0.012993,0.002765
20 Sep 2020 00:02:00.000,7.169,89.100,750.330557,0.059799,-0.013096,0.005486
20 Sep 2020 00:03:00.000,10.752,88.311,750.738794,0.059773,-0.013272,0.008120
20 Sep 2020 00:04:00.000,14.333,87.509,751.301160,0.059735,-0.013525,0.010623
20 Sep 2020 00:05:00.000,17.912,86.689,752.008674,0.059686,-0.013865,0.012957
20 Sep 2020 00:06:00.000,21.487,85.846,752.850045,0.059625,-0.014303,0.015085
20 Sep 2020 00:07:00.000,25.058,84.973,753.811859,0.059552,-0.014855,0.016971
20 Sep 2020 00:08:00.000,28.624,84.063,754.878799,0.059465,-0.015543,0.018588
20 Sep 2020 00:09:00.000,32.185,83.108,756.033893,0.059363,-0.016395,0.019910
20 Sep 2020 00:10:00.000,35.739,82.095,757.258792,0.059243,-0.017451,0.020915
20 Sep 2020 00:11:00.000,39.285,81.012,758.534068,0.059103,-0.018765,0.021589
20 Sep 2020 00:12:00.000,42.822,79.840,759.839522,0.058937,-0.020410,0.021921
20 Sep 2020 00:13:00.000,46.349,78.557,761.154511,0.058738,-0.022492,0.021907
20 Sep 2020 00:14:00.000,49.862,77.133,762.458273,0.058496,-0.025161,0.021547
20 Sep 2020 00:15:00.000,53.359,75.526,763.730256,0.058193,-0.028642,0.020847
20 Sep 2020 00:16:00.000,56.835,73.678,764.950441,0.057804,-0.033274,0.019820
20 Sep 2020 00:17:00.000,60.284,71.505,766.099651,0.057288,-0.039592,0.018482
20 Sep 2020 00:18:00.000,63.697,68.883,767.159851,0.056574,-0.048470,0.016854
20 Sep 2020 00:19:00.000,67.059,65.617,768.114427,0.055540,-0.061387,0.014962
20 Sep 2020 00:20:00.000,70.343,61.394,768.948435,0.053959,-0.080959,0.012835
20 Sep 2020 00:21:00.000,73.507,55.689,769.648834,0.051382,-0.111924,0.010509
20 Sep 2020 00:22:00.000,76.464,47.588,770.204682,0.046880,-0.162661,0.008018
20 Sep 2020 00:23:00.000,79.050,35.562,770.607304,0.038525,-0.244722,0.005402
20 Sep 2020 00:24:00.000,80.940,17.658,770.850415,0.023101,-0.354161,0.002701
20 Sep 2020 00:25:00.000,81.649,-5.961,770.930227,-0.000381,-0.415618,-0.000041
20 Sep 2020 00:26:00.000,80.898,-29.467,770.845493,-0.023694,-0.350966,-0.002783
20 Sep 2020 00:27:00.000,78.980,-47.175,770.597535,-0.038860,-0.241738,-0.005481
20 Sep 2020 00:28:00.000,76.380,-59.055,770.190221,-0.047058,-0.160742,-0.008094
20 Sep 2020 00:29:00.000,73.414,-67.065,769.629905,-0.051481,-0.110762,-0.010581
20 Sep 2020 00:30:00.000,70.247,-72.715,768.925333,-0.054018,-0.080238,-0.012902
20 Sep 2020 00:31:00.000,66.959,-76.903,768.087515,-0.055578,-0.060921,-0.015022
20 Sep 2020 00:32:00.000,63.596,-80.146,767.129549,-0.056599,-0.048154,-0.016907
20 Sep 2020 00:33:00.000,60.181,-82.752,766.066433,-0.057306,-0.039371,-0.018526
20 Sep 2020 00:34:00.000,56.731,-84.914,764.914829,-0.057818,-0.033114,-0.019856
20 Sep 2020 00:35:00.000,53.254,-86.754,763.692809,-0.058203,-0.028523,-0.020873
20 Sep 2020 00:36:00.000,49.757,-88.354,762.419580,-0.058504,-0.025071,-0.021562
20 Sep 2020 00:37:00.000,46.243,-89.774,761.115182,-0.058745,-0.022422,-0.021912
20 Sep 2020 00:38:00.000,42.716,-91.053,759.800176,-0.058943,-0.020355,-0.021916
20 Sep 2020 00:39:00.000,39.179,-92.221,758.495328,-0.059108,-0.018721,-0.021573
20 Sep 2020 00:40:00.000,35.633,-93.302,757.221270,-0.059247,-0.017416,-0.020890
20 Sep 2020 00:41:00.000,32.078,-94.313,755.998184,-0.059366,-0.016367,-0.019874
20 Sep 2020 00:42:00.000,28.517,-95.267,754.845471,-0.059467,-0.015520,-0.018544
20 Sep 2020 00:43:00.000,24.951,-96.176,753.781441,-0.059554,-0.014837,-0.016919
20 Sep 2020 00:44:00.000,21.380,-97.048,752.823021,-0.059627,-0.014288,-0.015024
20 Sep 2020 00:45:00.000,17.804,-97.890,751.985474,-0.059687,-0.013854,-0.012890
20 Sep 2020 00:46:00.000,14.226,-98.709,751.282155,-0.059736,-0.013516,-0.010550
20 Sep 2020 00:47:00.000,10.645,-99.511,750.724287,-0.059774,-0.013265,-0.008042
20 Sep 2020 00:48:00.000,7.062,-100.300,750.320781,-0.059800,-0.013092,-0.005406
20 Sep 2020 00:49:00.000,3.478,-101.081,750.078083,-0.059816,-0.012991,-0.002683
20 Sep 2020 00:50:00.000,-0.107,-101.858,750.000074,-0.059821,-0.012959,0.000083
20 Sep 2020 00:51:00.000,-3.692,-102.634,750.088002,-0.059815,-0.012995,0.002848
20 Sep 2020 00:52:00.000,-7.276,-103.416,750.340461,-0.059799,-0.013100,0.005567
20 Sep 2020 00:53:00.000,-10.859,-104.205,750.753414,-0.059772,-0.013278,0.008197
20 Sep 2020 00:54:00.000,-14.440,-105.008,751.320262,-0.059734,-0.013534,0.010696
20 Sep 2020 00:55:00.000,-18.019,-105.828,752.031954,-0.059684,-0.013877,0.013024
20 Sep 2020 00:56:00.000,-21.594,-106.672,752.877132,-0.059623,-0.014318,0.015145
20 Sep 2020 00:57:00.000,-25.165,-107.546,753.842320,-0.059549,-0.014874,0.017024
