"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
20 Sep 2020 00:00:00.000,0.000,90.658,750.000000,0.059821,-0.012959,0.000000
20 Sep 2020 00:00:01.000,0.060,90.645,750.000023,0.059821,-0.012959,0.000046
20 Sep 2020 00:00:02.000,0.120,90.632,750.000092,0.059821,-0.012959,0.000092
20 Sep 2020 00:00:03.000,0.179,90.619,750.000208,0.059821,-0.012959,0.000139
20 Sep 2020 00:00:04.000,0.239,90.606,750.000370,0.059821,-0.012959,0.000185
20 Sep 2020 00:00:05.000,0.299,90.593,750.000577,0.059821,-0.012959,0.000231
20 Sep 2020 00:00:06.000,0.359,90.580,750.000831,0.059821,-0.012959,0.000277
20 Sep 2020 00:00:07.000,0.418,90.568,750.001131,0.059821,-0.012959,0.000324
20 Sep 2020 00:00:08.000,0.478,90.555,750.001477,0.059821,-0.012959,0.000370
20 Sep 2020 00:00:09.000,0.538,90.542,750.001870,0.059821,-0.012960,0.000416
20 Sep 2020 00:00:10.000,0.598,90.529,750.002308,0.059821,-0.012960,0.000462
20 Sep 2020 00:00:11.000,0.657,90.516,750.002793,0.059821,-0.012960,0.000508
20 Sep 2020 00:00:12.000,0.717,90.503,750.003324,0.059821,-0.012960,0.000555
20 Sep 2020 00:00:13.000,0.777,90.490,750.003901,0.059821,-0.012960,0.000601
20 Sep 2020 00:00:14.000,0.837,90.477,750.004524,0.059821,-0.012961,0.000647
20 Sep 2020 00:00:15.000,0.896,90.464,750.005193,0.059821,-0.012961,0.000693
20 Sep 2020 00:00:16.000,0.956,90.451,750.005908,0.059820,-0.012961,0.000739
20 Sep 2020 00:00:17.000,1.016,90.438,750.006670,0.059820,-0.012962,0.000785
20 Sep 2020 00:00:18.000,1.076,90.425,750.007478,0.059820,-0.012962,0.000832
20 Sep 2020 00:00:19.000,1.135,90.412,750.008331,0.059820,-0.012962,0.000878
20 Sep 2020 00:00:20.000,1.195,90.399,750.009231,0.059820,-0.012963,0.000924
20 Sep 2020 00:00:21.000,1.255,90.386,750.010177,0.059820,-0.012963,0.000970
20 Sep 2020 00:00:22.000,1.315,90.373,750.011169,0.059820,-0.012963,0.001016
20 Sep 2020 00:00:23.000,1.374,90.361,750.012207,0.059820,-0.012964,0.001062
20 Sep 2020 00:00:24.000,1.434,90.348,750.013292,0.059820,-0.012964,0.001109
20 Sep 2020 00:00:25.000,1.494,90.335,750.014422,0.059820,-0.012965,0.001155
20 Sep 2020 00:00:26.000,1.554,90.322,750.015598,0.059820,-0.012965,0.001201
20 Sep 2020 00:00:27.000,1.613,90.309,750.016821,0.059820,-0.012966,0.001247
20 Sep 2020 00:00:28.000,1.673,90.296,750.018090,0.059820,-0.012966,0.001293
20 Sep 2020 00:00:29.000,1.733,90.283,750.019404,0.059820,-0.012967,0.001339
