Time (UTCG),Classical.ArgumentOfLatitude (deg)
00:00.0,359.999
01:00.0,3.601
02:00.0,7.204
03:00.0,10.806
04:00.0,14.408
05:00.0,18.01
06:00.0,21.612
07:00.0,25.214
08:00.0,28.817
09:00.0,32.419
10:00.0,36.021
11:00.0,39.623
12:00.0,43.225
13:00.0,46.827
14:00.0,50.429
15:00.0,54.032
16:00.0,57.634
17:00.0,61.236
18:00.0,64.838
19:00.0,68.44
20:00.0,72.042
21:00.0,75.645
22:00.0,79.247
23:00.0,82.849
24:00.0,86.451
25:00.0,90.053
26:00.0,93.655
27:00.0,97.257
28:00.0,100.86
29:00.0,104.462
30:00.0,108.064
31:00.0,111.666
32:00.0,115.268
33:00.0,118.87
34:00.0,122.473
35:00.0,126.075
36:00.0,129.677
37:00.0,133.279
38:00.0,136.881
39:00.0,140.483
40:00.0,144.086
41:00.0,147.688
42:00.0,151.29
43:00.0,154.892
44:00.0,158.494
45:00.0,162.096
46:00.0,165.698
47:00.0,169.301
48:00.0,172.903
49:00.0,176.505
50:00.0,180.107
51:00.0,183.709
52:00.0,187.311
53:00.0,190.914
54:00.0,194.516
55:00.0,198.118
56:00.0,201.72
57:00.0,205.322
58:00.0,208.924
59:00.0,212.526
00:00.0,216.129
01:00.0,219.731
02:00.0,223.333
03:00.0,226.935
04:00.0,230.537
05:00.0,234.139
06:00.0,237.742
07:00.0,241.344
08:00.0,244.946
09:00.0,248.548
10:00.0,252.15
11:00.0,255.752
12:00.0,259.355
13:00.0,262.957
14:00.0,266.559
15:00.0,270.161
16:00.0,273.763
17:00.0,277.365
18:00.0,280.967
19:00.0,284.57
20:00.0,288.172
21:00.0,291.774
22:00.0,295.376
23:00.0,298.978
24:00.0,302.58
25:00.0,306.183
26:00.0,309.785
27:00.0,313.387
28:00.0,316.989
29:00.0,320.591
30:00.0,324.193
31:00.0,327.795
32:00.0,331.398
33:00.0,335
34:00.0,338.602
35:00.0,342.204
36:00.0,345.806
37:00.0,349.408
38:00.0,353.011
39:00.0,356.613
40:00.0,0.215
41:00.0,3.817
42:00.0,7.419
43:00.0,11.021
44:00.0,14.624
45:00.0,18.226
46:00.0,21.828
47:00.0,25.43
48:00.0,29.032
49:00.0,32.634
50:00.0,36.236
51:00.0,39.839
52:00.0,43.441
53:00.0,47.043
54:00.0,50.645
55:00.0,54.247
56:00.0,57.849
57:00.0,61.452
58:00.0,65.054
59:00.0,68.656
00:00.0,72.258
01:00.0,75.86
02:00.0,79.462
03:00.0,83.064
04:00.0,86.667
05:00.0,90.269
06:00.0,93.871
07:00.0,97.473
08:00.0,101.075
09:00.0,104.677
10:00.0,108.28
11:00.0,111.882
12:00.0,115.484
13:00.0,119.086
14:00.0,122.688
15:00.0,126.29
16:00.0,129.893
17:00.0,133.495
18:00.0,137.097
19:00.0,140.699
20:00.0,144.301
21:00.0,147.903
22:00.0,151.505
23:00.0,155.108
24:00.0,158.71
25:00.0,162.312
26:00.0,165.914
27:00.0,169.516
28:00.0,173.118
29:00.0,176.721
30:00.0,180.323
31:00.0,183.925
32:00.0,187.527
33:00.0,191.129
34:00.0,194.731
35:00.0,198.333
36:00.0,201.936
37:00.0,205.538
38:00.0,209.14
39:00.0,212.742
40:00.0,216.344
41:00.0,219.946
42:00.0,223.549
43:00.0,227.151
44:00.0,230.753
45:00.0,234.355
