coo: 36.3302284_-119.2920585,E 00:00:00,A 00:00:00,E 01:00:00,A 01:00:00,E 02:00:00,A 02:00:00,E 03:00:00,A 03:00:00,E 04:00:00,A 04:00:00,E 05:00:00,A 05:00:00,E 06:00:00,A 06:00:00,E 07:00:00,A 07:00:00,E 08:00:00,A 08:00:00,E 09:00:00,A 09:00:00,E 10:00:00,A 10:00:00,E 11:00:00,A 11:00:00,E 12:00:00,A 12:00:00,E 13:00:00,A 13:00:00,E 14:00:00,A 14:00:00,E 15:00:00,A 15:00:00,E 16:00:00,A 16:00:00,E 17:00:00,A 17:00:00,E 18:00:00,A 18:00:00,E 19:00:00,A 19:00:00,E 20:00:00,A 20:00:00,E 21:00:00,A 21:00:00,E 22:00:00,A 22:00:00,E 23:00:00,A 23:00:00
1/1/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.89,126.19,16.95,136.87,24.21,149.43,29.01,163.92,30.74,179.72,29.13,195.56,24.43,210.11,17.25,222.74,8.25,233.49,--,--,--,--,--,--,--,--,--,--,--,--
1/2/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.88,126.05,16.96,136.72,24.24,149.28,29.08,163.77,30.83,179.6,29.25,195.46,24.56,210.05,17.39,222.71,8.39,233.48,--,--,--,--,--,--,--,--,--,--,--,--
1/3/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.88,125.9,16.97,136.57,24.28,149.12,29.15,163.63,30.93,179.48,29.37,195.37,24.7,210,17.53,222.69,8.54,233.48,--,--,--,--,--,--,--,--,--,--,--,--
1/4/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.88,125.75,16.99,136.42,24.33,148.97,29.22,163.48,31.04,179.35,29.5,195.29,24.84,209.95,17.68,222.66,8.69,233.48,--,--,--,--,--,--,--,--,--,--,--,--
1/5/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.89,125.6,17.02,136.26,24.39,148.81,29.31,163.33,31.15,179.23,29.63,195.2,24.99,209.9,17.83,222.65,8.84,233.49,--,--,--,--,--,--,--,--,--,--,--,--
1/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.9,125.44,17.06,136.1,24.45,148.65,29.4,163.19,31.28,179.11,29.78,195.12,25.15,209.86,17.99,222.64,9,233.5,--,--,--,--,--,--,--,--,--,--,--,--
1/7/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.92,125.27,17.1,135.94,24.52,148.49,29.5,163.04,31.4,178.99,29.93,195.04,25.31,209.82,18.16,222.64,9.16,233.53,--,--,--,--,--,--,--,--,--,--,--,--
1/8/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.95,125.11,17.15,135.77,24.6,148.33,29.61,162.89,31.54,178.88,30.08,194.97,25.47,209.79,18.33,222.64,9.33,233.55,--,--,--,--,--,--,--,--,--,--,--,--
1/9/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.98,124.94,17.21,135.6,24.68,148.16,29.73,162.74,31.68,178.76,30.24,194.9,25.64,209.77,18.5,222.65,9.5,233.59,-0.77,243,--,--,--,--,--,--,--,--,--,--
1/10/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.02,124.76,17.27,135.42,24.78,147.99,29.85,162.59,31.83,178.65,30.41,194.83,25.82,209.75,18.68,222.67,9.68,233.63,-0.6,243.06,--,--,--,--,--,--,--,--,--,--
